id,year,month_of_year,day_of_month,day_of_week,week_day,week_of_year,month,quarter,day8,month6,day_i
1990-01-01,1990,1,1,1,Monday,1,1990-01,1,19900101,199001,19900101
1990-01-02,1990,1,2,2,Tuesday,1,1990-01,1,19900102,199001,19900102
1990-01-03,1990,1,3,3,Wednesday,1,1990-01,1,19900103,199001,19900103
1990-01-04,1990,1,4,4,Thursday,1,1990-01,1,19900104,199001,19900104
1990-01-05,1990,1,5,5,Friday,1,1990-01,1,19900105,199001,19900105
1990-01-06,1990,1,6,6,Saturday,1,1990-01,1,19900106,199001,19900106
1990-01-07,1990,1,7,0,Sunday,1,1990-01,1,19900107,199001,19900107
1990-01-08,1990,1,8,1,Monday,2,1990-01,1,19900108,199001,19900108
1990-01-09,1990,1,9,2,Tuesday,2,1990-01,1,19900109,199001,19900109
1990-01-10,1990,1,10,3,Wednesday,2,1990-01,1,19900110,199001,19900110
1990-01-11,1990,1,11,4,Thursday,2,1990-01,1,19900111,199001,19900111
1990-01-12,1990,1,12,5,Friday,2,1990-01,1,19900112,199001,19900112
1990-01-13,1990,1,13,6,Saturday,2,1990-01,1,19900113,199001,19900113
1990-01-14,1990,1,14,0,Sunday,2,1990-01,1,19900114,199001,19900114
1990-01-15,1990,1,15,1,Monday,3,1990-01,1,19900115,199001,19900115
1990-01-16,1990,1,16,2,Tuesday,3,1990-01,1,19900116,199001,19900116
1990-01-17,1990,1,17,3,Wednesday,3,1990-01,1,19900117,199001,19900117
1990-01-18,1990,1,18,4,Thursday,3,1990-01,1,19900118,199001,19900118
1990-01-19,1990,1,19,5,Friday,3,1990-01,1,19900119,199001,19900119
1990-01-20,1990,1,20,6,Saturday,3,1990-01,1,19900120,199001,19900120
1990-01-21,1990,1,21,0,Sunday,3,1990-01,1,19900121,199001,19900121
1990-01-22,1990,1,22,1,Monday,4,1990-01,1,19900122,199001,19900122
1990-01-23,1990,1,23,2,Tuesday,4,1990-01,1,19900123,199001,19900123
1990-01-24,1990,1,24,3,Wednesday,4,1990-01,1,19900124,199001,19900124
1990-01-25,1990,1,25,4,Thursday,4,1990-01,1,19900125,199001,19900125
1990-01-26,1990,1,26,5,Friday,4,1990-01,1,19900126,199001,19900126
1990-01-27,1990,1,27,6,Saturday,4,1990-01,1,19900127,199001,19900127
1990-01-28,1990,1,28,0,Sunday,4,1990-01,1,19900128,199001,19900128
1990-01-29,1990,1,29,1,Monday,5,1990-01,1,19900129,199001,19900129
1990-01-30,1990,1,30,2,Tuesday,5,1990-01,1,19900130,199001,19900130
1990-01-31,1990,1,31,3,Wednesday,5,1990-01,1,19900131,199001,19900131
1990-02-01,1990,2,1,4,Thursday,5,1990-02,1,19900201,199002,19900201
1990-02-02,1990,2,2,5,Friday,5,1990-02,1,19900202,199002,19900202
1990-02-03,1990,2,3,6,Saturday,5,1990-02,1,19900203,199002,19900203
1990-02-04,1990,2,4,0,Sunday,5,1990-02,1,19900204,199002,19900204
1990-02-05,1990,2,5,1,Monday,6,1990-02,1,19900205,199002,19900205
1990-02-06,1990,2,6,2,Tuesday,6,1990-02,1,19900206,199002,19900206
1990-02-07,1990,2,7,3,Wednesday,6,1990-02,1,19900207,199002,19900207
1990-02-08,1990,2,8,4,Thursday,6,1990-02,1,19900208,199002,19900208
1990-02-09,1990,2,9,5,Friday,6,1990-02,1,19900209,199002,19900209
1990-02-10,1990,2,10,6,Saturday,6,1990-02,1,19900210,199002,19900210
1990-02-11,1990,2,11,0,Sunday,6,1990-02,1,19900211,199002,19900211
1990-02-12,1990,2,12,1,Monday,7,1990-02,1,19900212,199002,19900212
1990-02-13,1990,2,13,2,Tuesday,7,1990-02,1,19900213,199002,19900213
1990-02-14,1990,2,14,3,Wednesday,7,1990-02,1,19900214,199002,19900214
1990-02-15,1990,2,15,4,Thursday,7,1990-02,1,19900215,199002,19900215
1990-02-16,1990,2,16,5,Friday,7,1990-02,1,19900216,199002,19900216
1990-02-17,1990,2,17,6,Saturday,7,1990-02,1,19900217,199002,19900217
1990-02-18,1990,2,18,0,Sunday,7,1990-02,1,19900218,199002,19900218
1990-02-19,1990,2,19,1,Monday,8,1990-02,1,19900219,199002,19900219
1990-02-20,1990,2,20,2,Tuesday,8,1990-02,1,19900220,199002,19900220
1990-02-21,1990,2,21,3,Wednesday,8,1990-02,1,19900221,199002,19900221
1990-02-22,1990,2,22,4,Thursday,8,1990-02,1,19900222,199002,19900222
1990-02-23,1990,2,23,5,Friday,8,1990-02,1,19900223,199002,19900223
1990-02-24,1990,2,24,6,Saturday,8,1990-02,1,19900224,199002,19900224
